dataset,method,doublet_type,n_doublets,recall
sim_easy_13pct,DoubletFinder,heterotypic,34,0.7647058823529411
sim_easy_13pct,DoubletFinder,homotypic,6,0.0
sim_easy_13pct,Scrublet,heterotypic,34,0.9411764705882353
sim_easy_13pct,Scrublet,homotypic,6,0.0
sim_easy_13pct,scDblFinder,heterotypic,34,0.3235294117647059
sim_easy_13pct,scDblFinder,homotypic,6,0.0
sim_homotypic_13pct,DoubletFinder,heterotypic,3,1.0
sim_homotypic_13pct,DoubletFinder,homotypic,37,0.40540540540540543
sim_homotypic_13pct,Scrublet,heterotypic,3,1.0
sim_homotypic_13pct,Scrublet,homotypic,37,0.02702702702702703
sim_homotypic_13pct,scDblFinder,heterotypic,3,1.0
sim_homotypic_13pct,scDblFinder,homotypic,37,0.5135135135135135
sim_low_rate_3pct,DoubletFinder,heterotypic,9,0.7777777777777778
sim_low_rate_3pct,DoubletFinder,homotypic,1,0.0
sim_low_rate_3pct,Scrublet,heterotypic,9,1.0
sim_low_rate_3pct,Scrublet,homotypic,1,0.0
sim_low_rate_3pct,scDblFinder,heterotypic,9,1.0
sim_low_rate_3pct,scDblFinder,homotypic,1,0.0
sim_subtle_13pct,DoubletFinder,heterotypic,31,0.8387096774193549
sim_subtle_13pct,DoubletFinder,homotypic,9,0.0
sim_subtle_13pct,Scrublet,heterotypic,31,1.0
sim_subtle_13pct,Scrublet,homotypic,9,0.0
sim_subtle_13pct,scDblFinder,heterotypic,31,0.9354838709677419
sim_subtle_13pct,scDblFinder,homotypic,9,0.8888888888888888
